@relation 'fashion_style-weka.filters.unsupervised.attribute.Remove-R2,4-6,9,14-19,21'

@attribute 'Que tipo de roupa você prefere para sair a noite?' {'Moderna e descolada','Elegante e chic','Casual e descontraida','Sexy, bem sexy'}
@attribute 'Qual dos looks você escolheria para usar no dia a dia?' {'Chic e despretencioso','Sensual na medida certa','Amo moda e gosto de looks mais fashion','Confortável e casual'}
@attribute 'De quem você gostaria de herdar o guarda roupa?' {'Da elegantíssima Kate Middleton','Da sexy Blake Lively','Da descoladíssima Kate Moss','Adoro o ar descolado casual da top Alessandra Ambrósio'}
@attribute 'Se você ganhasse um crédito de compras, em que marca você faria a festa?' {'Zara (elegante e casual)','Planet Girls (ousada e sexy)','Urban Outfitters (cool e fashion)','Hering (casual e chic na medida certa)'}
@attribute 'Com qual desses sapatos você se identifica mais?' {'Uma bota bem descolada','Um peep toe bem sexy','Um slipper mais casual','Um clássico e elegante peep toe'}
@attribute 'Que tipo de salto você prefere?' {'Moderno e descolado','Alto e elegante','Baixo e confortável','Bem sensual'}
@attribute 'Que tipo de sapatilha você prefere?' {'Sexy,  muito sexy','Básica e cheia de charme',Clássica,'Moderna e descolada'}
@attribute 'Qual dos looks da Jennifer Lopez mais combina com você?' {'Chic e comportado','Mais casual','Fashion e cool','Sexy muito sexy'}
@attribute 'Qual o look ideal para o trabalho?' {'Sofisticada e elegante','Moderno e descolado','Sexy na medida certa','Chic e mais básico'}
@attribute fashion_style {fashion,casual/romantica,sexy,elegante}

@data
'Moderna e descolada','Chic e despretencioso','Da descoladíssima Kate Moss','Zara (elegante e casual)','Uma bota bem descolada','Baixo e confortável',Clássica,'Chic e comportado','Moderno e descolado',fashion
'Moderna e descolada','Chic e despretencioso','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Fashion e cool','Chic e mais básico',casual/romantica
'Casual e descontraida','Chic e despretencioso','Da sexy Blake Lively','Zara (elegante e casual)','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Mais casual','Moderno e descolado',fashion
'Moderna e descolada','Amo moda e gosto de looks mais fashion','Da descoladíssima Kate Moss','Zara (elegante e casual)','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Fashion e cool','Moderno e descolado',fashion
'Moderna e descolada','Amo moda e gosto de looks mais fashion','Da descoladíssima Kate Moss','Zara (elegante e casual)','Uma bota bem descolada','Baixo e confortável','Moderna e descolada','Mais casual','Moderno e descolado',fashion
'Moderna e descolada','Chic e despretencioso','Da descoladíssima Kate Moss','Zara (elegante e casual)','Uma bota bem descolada','Moderno e descolado','Moderna e descolada','Fashion e cool','Moderno e descolado',fashion
'Moderna e descolada','Chic e despretencioso','Da descoladíssima Kate Moss','Zara (elegante e casual)','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Fashion e cool','Moderno e descolado',fashion
'Elegante e chic','Chic e despretencioso','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um peep toe bem sexy','Alto e elegante',Clássica,'Chic e comportado','Chic e mais básico',elegante
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Urban Outfitters (cool e fashion)','Um slipper mais casual','Baixo e confortável','Básica e cheia de charme','Fashion e cool','Moderno e descolado',fashion
'Casual e descontraida','Amo moda e gosto de looks mais fashion','Da descoladíssima Kate Moss','Urban Outfitters (cool e fashion)','Um slipper mais casual','Moderno e descolado','Moderna e descolada','Mais casual','Moderno e descolado',fashion
'Sexy, bem sexy','Sensual na medida certa','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Sexy,  muito sexy','Sexy muito sexy','Chic e mais básico',casual/romantica
'Moderna e descolada','Amo moda e gosto de looks mais fashion','Da descoladíssima Kate Moss','Urban Outfitters (cool e fashion)','Uma bota bem descolada','Moderno e descolado','Moderna e descolada','Fashion e cool','Moderno e descolado',fashion
'Casual e descontraida','Amo moda e gosto de looks mais fashion','Da descoladíssima Kate Moss','Urban Outfitters (cool e fashion)','Um slipper mais casual','Moderno e descolado','Moderna e descolada','Fashion e cool','Moderno e descolado',fashion
'Elegante e chic','Chic e despretencioso','Da descoladíssima Kate Moss','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Mais casual','Chic e mais básico',elegante
'Casual e descontraida','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Urban Outfitters (cool e fashion)','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Mais casual','Moderno e descolado',casual/romantica
'Moderna e descolada','Amo moda e gosto de looks mais fashion','Da descoladíssima Kate Moss','Zara (elegante e casual)','Um slipper mais casual','Moderno e descolado','Moderna e descolada','Fashion e cool','Moderno e descolado',fashion
