@RELATION fashion_style

@ATTRIBUTE 'Que tipo de roupa você prefere para sair a noite?' {'Moderna e descolada','Elegante e chic','Casual e descontraida','Sexy, bem sexy'}
@ATTRIBUTE 'Qual o tipo de maquiagem ideal para o seu dia-a-dia?' {'Pele, olhos e boca suave','Quase não uso maquiagem','Amo make e gosto de variar','Olhos marcados e sexy'}
@ATTRIBUTE 'Qual dos looks você escolheria para usar no dia a dia?' {'Chic e despretencioso','Sensual na medida certa','Amo moda e gosto de looks mais fashion','Confortável e casual'}
@ATTRIBUTE 'Com qual dos sapatos abaixo você vai trabalhar?' {'Adoro sapatos diferentes','Algo bem sexy combina com meu estilo','Clássico, por favor','Prefiro algo bem confortável como essa sapatilha'}
@ATTRIBUTE 'Qual das bolsas abaixo é perfeita para te acompanhar durante a semana?' {'Clássica e sofisticada','Moderna com esta da foto','Animal print, super sexy','A casual que combina com tudo'}
@ATTRIBUTE 'O que não pode faltar na sua necessaire de maquiagem?' {'Corretivo, blush, batom nude e vermelho, lápis de olho, delineador, rímel e sombra','Corretivo, blush, batom nude e vermelho, lápis de olho, delineador e rímel','Hidratante labial, blush e corretivo','Corretivo, blush, batom vermelho, lápis de olho, delineador e rímel'}
@ATTRIBUTE 'De quem você gostaria de herdar o guarda roupa?' {'Da elegantíssima Kate Middleton','Da sexy Blake Lively','Da descoladíssima Kate Moss','Adoro o ar descolado casual da top Alessandra Ambrósio'}
@ATTRIBUTE 'Se você ganhasse um crédito de compras, em que marca você faria a festa?' {'Zara (elegante e casual)','Planet Girls (ousada e sexy)','Urban Outfitters (cool e fashion)','Hering (casual e chic na medida certa)'}
@ATTRIBUTE 'Sexta a noite, qual o sapato perfeito para sair?' {'Adoro algo moderno','Algo sexy e feminino','Confortável e lindo por favor!','Um clássico como o da foto'}
@ATTRIBUTE 'Com qual desses sapatos você se identifica mais?' {'Uma bota bem descolada','Um peep toe bem sexy','Um slipper mais casual','Um clássico e elegante peep toe'}
@ATTRIBUTE 'Que tipo de salto você prefere?' {'Moderno e descolado','Alto e elegante','Baixo e confortável','Bem sensual'}
@ATTRIBUTE 'Que tipo de sapatilha você prefere?' {'Sexy,  muito sexy','Básica e cheia de charme','Clássica','Moderna e descolada'}
@ATTRIBUTE 'Qual dos looks da Jennifer Lopez mais combina com você?' {'Chic e comportado','Mais casual','Fashion e cool','Sexy muito sexy'}
@ATTRIBUTE 'Qual dos óculos mais combina com você?' {'O ultra fashion redondo','O Clássico Jackie O','O feminino gatinho','O aviador que combina com tudo'}
@ATTRIBUTE 'Qual colar você usaria para um almoço com suas amigas?' {'Adorei esse de franjas, que é muito sensual','Prefiro algo mais discreto e básico ','O tradicional colar de pérolas','Um maxi colar bem moderno'}
@ATTRIBUTE 'Qual dos looks te agrada mais num dia de calor?' {'Elegante na medida certa','Fresco e moderno','Adoro algo bem sensual','Algo mais casual'}
@ATTRIBUTE 'Com qual dos looks você iria a um almoço especial?' {'Chic com uma pitada tradicional','Descolado e elegante','Prefiro algo mais sexy','Casual com um toque especial'}
@ATTRIBUTE 'É final de semana, qual seu prato favorito?' {'Sushi e sashimi','Hamburguer','Uma deliciosa pasta','Uma linda salada'}
@ATTRIBUTE 'Qual seria seu próximo destino nas férias?' {'Buenos Aires','Estação de esqui','Paris','Uma praia paradisíaca'}
@ATTRIBUTE 'Qual o look ideal para o trabalho?' {'Sofisticada e elegante','Moderno e descolado','Sexy na medida certa','Chic e mais básico'}
@ATTRIBUTE 'Qual sua revista favorita?' {'Elle/Vogue','Claudia','Bons Fluidos','Caras/Quem'}
@ATTRIBUTE fashion_style {'fashion', 'casual/romantica', 'sexy', 'elegante'}

@DATA
'Moderna e descolada','Pele, olhos e boca suave','Chic e despretencioso','Prefiro algo bem confortável como essa sapatilha','Moderna com esta da foto','Corretivo, blush, batom nude e vermelho, lápis de olho, delineador, rímel e sombra','Da descoladíssima Kate Moss','Zara (elegante e casual)','Adoro algo moderno','Uma bota bem descolada','Baixo e confortável','Clássica','Chic e comportado','O ultra fashion redondo','O tradicional colar de pérolas','Elegante na medida certa','Descolado e elegante','Sushi e sashimi','Uma praia paradisíaca','Moderno e descolado','Elle/Vogue',fashion
'Moderna e descolada','Quase não uso maquiagem','Chic e despretencioso','Prefiro algo bem confortável como essa sapatilha','Clássica e sofisticada','Hidratante labial, blush e corretivo','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Adoro algo moderno','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Fashion e cool','O feminino gatinho','Um maxi colar bem moderno','Elegante na medida certa','Casual com um toque especial','Uma deliciosa pasta','Estação de esqui','Chic e mais básico','Elle/Vogue',casual/romantica
'Casual e descontraida','Pele, olhos e boca suave','Chic e despretencioso','Prefiro algo bem confortável como essa sapatilha','Moderna com esta da foto','Corretivo, blush, batom nude e vermelho, lápis de olho, delineador e rímel','Da sexy Blake Lively','Zara (elegante e casual)','Confortável e lindo por favor!','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Mais casual','O feminino gatinho','Adorei esse de franjas, que é muito sensual','Fresco e moderno','Descolado e elegante','Sushi e sashimi','Paris','Moderno e descolado','Elle/Vogue',fashion
'Moderna e descolada','Pele, olhos e boca suave','Amo moda e gosto de looks mais fashion','Prefiro algo bem confortável como essa sapatilha','Clássica e sofisticada','Corretivo, blush, batom nude e vermelho, lápis de olho, delineador e rímel','Da descoladíssima Kate Moss','Zara (elegante e casual)','Um clássico como o da foto','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Fashion e cool','O feminino gatinho','Adorei esse de franjas, que é muito sensual','Fresco e moderno','Chic com uma pitada tradicional','Sushi e sashimi','Paris','Moderno e descolado','Elle/Vogue',fashion
'Moderna e descolada','Pele, olhos e boca suave','Amo moda e gosto de looks mais fashion','Prefiro algo bem confortável como essa sapatilha','Moderna com esta da foto','Corretivo, blush, batom vermelho, lápis de olho, delineador e rímel','Da descoladíssima Kate Moss','Zara (elegante e casual)','Adoro algo moderno','Uma bota bem descolada','Baixo e confortável','Moderna e descolada','Mais casual','O aviador que combina com tudo','Um maxi colar bem moderno','Fresco e moderno','Descolado e elegante','Sushi e sashimi','Paris','Moderno e descolado','Elle/Vogue',fashion
'Moderna e descolada','Amo make e gosto de variar','Chic e despretencioso','Algo bem sexy combina com meu estilo','A casual que combina com tudo','Corretivo, blush, batom vermelho, lápis de olho, delineador e rímel','Da descoladíssima Kate Moss','Zara (elegante e casual)','Adoro algo moderno','Uma bota bem descolada','Moderno e descolado','Moderna e descolada','Fashion e cool','O aviador que combina com tudo','Um maxi colar bem moderno','Fresco e moderno','Chic com uma pitada tradicional','Sushi e sashimi','Uma praia paradisíaca','Moderno e descolado','Bons Fluidos',fashion
'Moderna e descolada','Pele, olhos e boca suave','Chic e despretencioso','Prefiro algo bem confortável como essa sapatilha','Moderna com esta da foto','Corretivo, blush, batom nude e vermelho, lápis de olho, delineador e rímel','Da descoladíssima Kate Moss','Zara (elegante e casual)','Algo sexy e feminino','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Fashion e cool','O feminino gatinho','Adorei esse de franjas, que é muito sensual','Fresco e moderno','Chic com uma pitada tradicional','Sushi e sashimi','Uma praia paradisíaca','Moderno e descolado','Elle/Vogue',fashion
'Elegante e chic','Pele, olhos e boca suave','Chic e despretencioso','Prefiro algo bem confortável como essa sapatilha','Clássica e sofisticada','Hidratante labial, blush e corretivo','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um clássico como o da foto','Um peep toe bem sexy','Alto e elegante','Clássica','Chic e comportado','O feminino gatinho','Um maxi colar bem moderno','Elegante na medida certa','Casual com um toque especial','Sushi e sashimi','Estação de esqui','Chic e mais básico','Elle/Vogue',elegante
'Moderna e descolada','Pele, olhos e boca suave','Confortável e casual','Prefiro algo bem confortável como essa sapatilha','A casual que combina com tudo','Corretivo, blush, batom nude e vermelho, lápis de olho, delineador e rímel','Adoro o ar descolado casual da top Alessandra Ambrósio','Urban Outfitters (cool e fashion)','Confortável e lindo por favor!','Um slipper mais casual','Baixo e confortável','Básica e cheia de charme','Fashion e cool','O aviador que combina com tudo','Um maxi colar bem moderno','Fresco e moderno','Chic com uma pitada tradicional','Sushi e sashimi','Uma praia paradisíaca','Moderno e descolado','Elle/Vogue',fashion
'Casual e descontraida','Quase não uso maquiagem','Amo moda e gosto de looks mais fashion','Adoro sapatos diferentes','A casual que combina com tudo','Hidratante labial, blush e corretivo','Da descoladíssima Kate Moss','Urban Outfitters (cool e fashion)','Confortável e lindo por favor!','Um slipper mais casual','Moderno e descolado','Moderna e descolada','Mais casual','O aviador que combina com tudo','Prefiro algo mais discreto e básico ','Fresco e moderno','Casual com um toque especial','Hamburguer','Paris','Moderno e descolado','Bons Fluidos',fashion
