text,id,dummy
"Que tipo de roupa você prefere para sair a noite?",1,false
"Qual o tipo de maquiagem ideal para o seu dia-a-dia?",2,true
"Qual dos looks você escolheria para usar no dia a dia?",3,false
"Com qual dos sapatos abaixo você vai trabalhar?",4,true
"Qual das bolsas abaixo é perfeita para te acompanhar durante a semana?",5,true
"O que não pode faltar na sua necessaire de maquiagem?",6,true
"De quem você gostaria de herdar o guarda roupa?",7,false
"Se você ganhasse um crédito de compras, em que marca você faria a festa?",8,false
"Sexta a noite, qual o sapato perfeito para sair?",9,true
"Com qual desses sapatos você se identifica mais?",10,false
"Que tipo de salto você prefere?",11,false
"Que tipo de sapatilha você prefere?",12,false
"Qual dos looks da Jennifer Lopez mais combina com você?",13,false
"Qual dos óculos mais combina com você?",14,true
"Qual colar você usaria para um almoço com suas amigas?",15,true
"Qual dos looks te agrada mais num dia de calor?",16,true
"Com qual dos looks você iria a um almoço especial?",17,true
"É final de semana, qual seu prato favorito?",18,true
"Qual seria seu próximo destino nas férias?",19,true
"Qual o look ideal para o trabalho?",20,false
"Qual sua revista favorita?",21,true
